CustomerID,FirstName,LastName,Email,PhoneNumber,Address,City,State,Country,ZipCode
CUST_000001,Paige,Marsh,jillmyers@example.net,+1-997-371-6644x78465,"007 Tiffany Throughway Suite 016, North Charlesborough, Maine 26731",Lake Heatherville,Connecticut,United States Minor Outlying Islands,54204
CUST_000002,Keith,Lopez,iwheeler@example.com,+1-456-793-9478x04611,"981 Gross Harbors Apt. 295, Port Michael, Alaska 38076",Josephbury,Maine,North Macedonia,15890
CUST_000003,Cassandra,Rodriguez,leslie53@example.org,582.816.8062,"012 April Ferry, Moorefurt, Georgia 23814",Lake Kevinstad,Michigan,Nicaragua,39423
CUST_000004,Dustin,Manning,maria67@example.com,304.840.2284x197,"3643 Jamie Underpass, North Alexville, Kansas 21678",Tammybury,Oklahoma,Lesotho,88497
CUST_000005,Jack,Phillips,ann52@example.com,(324)912-1286x278,"95716 Smith Tunnel Apt. 796, Jenniferfort, Arizona 46943",East Anthonyborough,West Virginia,Hungary,19752
CUST_000006,Jose,Payne,cvelez@example.net,+1-579-776-0199x3787,"0059 Walker Union Apt. 185, Port Charleston, New York 14517",Ortizport,Louisiana,Rwanda,86859
CUST_000007,Brandon,Davila,dunnjonathan@example.org,+1-252-591-9751x0627,"572 Nancy Squares, Chelseafurt, Mississippi 92379",Port Amandaton,North Dakota,Paraguay,80866
CUST_000008,Joyce,Smith,christopherhill@example.org,(435)768-7195,"9692 Robert Track, Port Eric, West Virginia 74771",Stokesland,Nebraska,Heard Island and McDonald Islands,09272
CUST_000009,Kevin,Sims,cklein@example.org,(501)369-9255x1272,"992 Norton Coves Suite 208, Quinnfort, Mississippi 78662",Wellschester,West Virginia,Paraguay,11972
CUST_000010,Mario,Harris,romerobarbara@example.com,001-215-732-3829,"49016 Freeman Viaduct, North Nicoleport, Missouri 10823",South Joseph,Wisconsin,Italy,20563
CUST_000011,James,Mata,powellkrista@example.org,304-869-4365,"3004 Orr Vista, New Katie, Kentucky 98053",North Megan,Louisiana,Saint Vincent and the Grenadines,31464
CUST_000012,Linda,Bonilla,jason94@example.com,+1-226-845-1522,"2799 Cherry Roads Suite 546, Stephenburgh, Nevada 79609",South Derekside,Colorado,Mali,32739
CUST_000013,Haley,Smith,edward82@example.org,+1-856-332-0722x844,"858 Green Roads, Trevorbury, Rhode Island 74892",Lisafort,West Virginia,Slovakia (Slovak Republic),91094
CUST_000014,Matthew,Jones,william82@example.net,(479)922-2774x20401,"3193 Juan Bridge, Meganchester, Missouri 63977",Brianmouth,South Carolina,China,41179
CUST_000015,Scott,Day,riveralee@example.org,833.638.9329,"1373 Wilkins Flat, North Kimberlyland, Iowa 90419",Ericland,Maryland,Iraq,77819
CUST_000016,Geoffrey,Hernandez,lowealex@example.com,6504979629,"80703 Michael Fork, Peterfort, Virginia 35581",North Rebecca,Michigan,Austria,67166
CUST_000017,Samantha,Vaughn,robertsonrichard@example.com,(879)525-1936,"1525 Harmon Divide Suite 733, Johnfort, Vermont 12554",Petersonberg,Michigan,Romania,81686
CUST_000018,Todd,Moore,kellyhull@example.net,953-886-3932,"053 Jenkins Valley Apt. 295, Murphyview, Vermont 22840",New Michael,New Jersey,Timor-Leste,93856
CUST_000019,Kristina,Ochoa,nwalters@example.com,+1-706-771-9358,"0612 Jennifer Path, Port Deannastad, South Carolina 23661",New Christopher,California,Norway,98584
CUST_000020,Matthew,Hall,allison12@example.net,7295251736,"98952 Adrian Court Apt. 427, Lake Nicholas, Oklahoma 57789",Port Carlfurt,Minnesota,Nicaragua,21610
CUST_000021,Kimberly,Long,ujohnson@example.com,+1-735-650-7466x896,"0537 Shaw Mountains, North Christopherburgh, Alabama 80865",Port Danielle,Massachusetts,Sweden,50136
CUST_000022,Walter,Ramsey,amymoore@example.net,530-412-4941x802,"194 Robin Islands, North Brittanyland, Indiana 63921",Hartfort,Maryland,Niger,16292
CUST_000023,Angela,Griffin,joshua87@example.net,232.260.9525x277,"036 Higgins Path, Nelsonburgh, Arkansas 61280",Youngburgh,Kansas,Thailand,87215
CUST_000024,Jesse,Pierce,stephanie71@example.com,001-614-350-4585,"506 Baker Island, Farrellburgh, Virginia 06689",Port Rick,Maine,Korea,56273
CUST_000025,Samantha,White,smithdaniel@example.org,(270)910-9309x565,"1828 Mark Hollow Suite 277, Lake Matthewchester, Wisconsin 81954",Port Renee,Louisiana,Barbados,21420
CUST_000026,Marilyn,Curry,tracycarrillo@example.com,+1-753-315-3339,"52544 Anderson Way Suite 681, Port Seanview, New Jersey 56044",Hunterview,Virginia,Gibraltar,33965
CUST_000027,Erika,Perry,jaclynboyd@example.org,803-305-3540,"350 Dawn Lock, Diazborough, Indiana 93521",New Alexa,Ohio,Puerto Rico,39654
CUST_000028,Heather,Johnson,boydjennifer@example.com,(503)219-0822,"65216 Cynthia Shoals, North Jacob, Maine 24521",West Tammy,Rhode Island,Chad,13232
CUST_000029,Miranda,Johnson,rmitchell@example.com,961.902.3329,"4991 Jeffrey Port, West Heather, North Carolina 65091",Bensonborough,Oklahoma,Congo,65199
CUST_000030,Tina,Wood,bmcdonald@example.org,(466)917-7529x356,"9077 Ruiz Trace, Port Philipchester, California 43838",Andersontown,Missouri,Dominica,80086
CUST_000031,Kristina,Chambers,curtis20@example.com,874-273-9997x68632,"00160 Christina Crest Apt. 967, Kevinmouth, Vermont 04840",Port Aaron,Idaho,Ghana,06728
CUST_000032,Heather,Jordan,joe27@example.com,001-314-330-8259,"580 Pamela Turnpike Apt. 072, Port Jessicahaven, Tennessee 41320",Anthonyfurt,South Dakota,Jordan,10852
CUST_000033,Ricardo,White,david60@example.net,246-333-7732x924,"824 Berry Fall, Jonathanville, Texas 96822",Johnsonport,Alabama,Guinea-Bissau,51766
CUST_000034,Cynthia,Baxter,mmorgan@example.com,001-235-334-3164,"77309 Stephenson Heights Suite 453, East Angelachester, Vermont 57354",South Kellyshire,West Virginia,Syrian Arab Republic,63151
CUST_000035,Rachel,Martinez,robertswhitney@example.net,(429)962-6283,"15043 Mackenzie Isle, Brookemouth, New Mexico 53557",New Gina,Washington,Indonesia,22898
CUST_000036,Heather,Harper,michaelvalenzuela@example.net,240-673-3102x575,"69433 Pugh Pass, Wongtown, South Carolina 26934",Pattonmouth,Arizona,Ukraine,10097
CUST_000037,Tanya,Spencer,dillonpamela@example.com,870-283-0106,"77381 Terri Garden Suite 471, New Davidside, Louisiana 94267",New Sean,Tennessee,Cape Verde,38693
CUST_000038,Dawn,Gibson,herrerapeter@example.com,+1-695-759-2893x381,"56612 Kelsey Village, Lake Michael, Connecticut 70752",Sheliaville,Texas,Taiwan,04428
CUST_000039,Jason,Grant,christianlowery@example.org,(778)510-0747x82028,"604 Edwards Prairie Suite 063, Williamsborough, Virginia 02510",New Michelefort,Florida,Saint Kitts and Nevis,65366
CUST_000040,Rebecca,Roberts,theresajohnson@example.org,001-535-626-1239,"9787 Austin Rue, Chunghaven, South Carolina 31450",Alexanderside,North Dakota,Cuba,59404
CUST_000041,Mark,Potter,sanchezbenjamin@example.net,385-783-8767,"690 Brenda Fork Suite 093, New Rachaelbury, Alaska 04833",West Christine,Maryland,French Polynesia,47687
CUST_000042,Raymond,Riggs,lowerydaniel@example.com,848-441-8796x4909,"472 Doyle Crossroad, Lake Ryanberg, Texas 37866",South Erik,Colorado,Wallis and Futuna,29895
CUST_000043,Christina,Jones,fbradshaw@example.org,360.442.0221,"88665 Dana Parkway, Patriciashire, Kansas 91852",Smithbury,North Carolina,Botswana,47944
CUST_000044,Michael,Kelley,csuarez@example.net,575.351.9479x758,"14541 Karen Way Suite 761, Lake Katherinefurt, Michigan 82284",New John,New Mexico,Saint Lucia,67852
CUST_000045,Lindsey,Castro,ehester@example.net,904-591-9047x477,"484 Patricia Branch Apt. 418, Robertsonstad, Delaware 87316",Romerochester,Nebraska,Montserrat,21873
CUST_000046,Andrea,Lyons,crawfordkimberly@example.net,+1-916-832-6163,"2853 Mendoza Island Apt. 897, North Debratown, California 48889",Sotohaven,Tennessee,Eritrea,67385
CUST_000047,Catherine,Huang,elizabeth63@example.net,(626)229-7002x14836,"371 Sylvia Trail Suite 332, Krausestad, Virginia 39548",East Jennifer,North Dakota,Mauritania,91416
CUST_000048,Christopher,Phelps,samantha40@example.net,001-692-919-6026,"279 Cisneros Highway, East Dawnland, Wyoming 66332",Brooksstad,Minnesota,Turkey,49095
CUST_000049,James,Cooper,peter26@example.net,797-340-2443,"84290 Mark Mill Suite 372, Parkerborough, Tennessee 76430",Carrbury,Alaska,Faroe Islands,36909
CUST_000050,Rachel,Cook,christina10@example.com,(723)820-7320,"819 Patrick Island Suite 717, Lake Sheriport, South Carolina 04617",Port Elizabethtown,Louisiana,Honduras,47863
CUST_000051,James,Shepard,nicholas66@example.net,223.274.8507x24725,"5779 Church Valleys Apt. 157, Johnfurt, Wyoming 03902",Schneiderborough,Mississippi,Iran,68566
CUST_000052,Amanda,Burns,tnguyen@example.net,810-592-6474x9262,"068 Cristian Meadow, Evansberg, Illinois 10879",North Ritachester,Nevada,Turks and Caicos Islands,45313
CUST_000053,Michael,Gutierrez,matthewstewart@example.com,902-307-4947,"7241 Jason Ford, Lake Christineborough, Louisiana 35258",East Cherylfort,Idaho,Gibraltar,66643
CUST_000054,Tracy,Burke,heather28@example.net,446.854.4573,"052 Holland Ports Apt. 608, Lake Randyshire, Vermont 16720",Shellyberg,North Dakota,Thailand,37849
CUST_000055,Bryan,Thomas,esparzasamuel@example.net,732.587.4624x256,"68112 Moore Orchard Suite 372, South Ryan, Kansas 86949",Weaverfurt,Oklahoma,Christmas Island,42154
CUST_000056,Joe,Lopez,meganmoore@example.org,001-326-357-5508,"40882 Frye Plains Apt. 333, West Kaylee, Colorado 81768",Cliffordbury,Michigan,United Kingdom,24203
